Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
206108450,Little Lies & Valentines (Dark Holiday #1),Lashell Rain,"Rain, Lashell",,"=""1962157008""","=""9781962157001""",3.0,Lashell Rain,Kindle Edition,119,2024,2024,2026/09/14,2026/09/10,"not-bought, adult, contemporary","not-bought (#240), adult (#146), contemporary (#66)",read,Like a cathartic wet dream.,,,1,0
18406862,"Sinner (The Wolves of Mercy Falls, #4)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""0545654572""","=""9780545654579""",0,Scholastic Press,Hardcover,357,2014,2014,,2026/09/14,"to-read, paranormal-romance, not-bought","to-read (#212), paranormal-romance (#4), not-bought (#249)",to-read,,,,0,0
9409458,"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""""","=""""",0,Scholastic Press,Hardcover,390,2011,2011,,2026/09/14,"to-read, not-bought, paranormal-romance","to-read (#211), not-bought (#248), paranormal-romance (#3)",to-read,,,,0,0
6654313,"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""0545123283""","=""9780545123280""",0,Scholastic Press,Hardcover,362,2010,2010,,2026/09/14,"to-read, paranormal-romance, not-bought","to-read (#210), paranormal-romance (#2), not-bought (#247)",to-read,,,,0,0
6068551,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""0545123267""","=""9780545123266""",0,Scholastic Press,Hardcover,392,2009,2009,,2026/09/14,"to-read, not-bought, paranormal-romance","to-read (#209), not-bought (#246), paranormal-romance (#1)",to-read,,,,0,0
218022666,"The Burning Queen (The Ravence Trilogy, #2)",Aparna Verma,"Verma, Aparna",,"=""0356522040""","=""9780356522043""",0,Orbit,Paperback,400,2025,2025,,2026/09/10,"to-read, not-bought, romantasy","to-read (#208), not-bought (#245), romantasy (#137)",to-read,,,,0,0
63325346,"The Phoenix King (The Ravence Trilogy, #1)",Aparna Verma,"Verma, Aparna",,"=""0316522775""","=""9780316522779""",0,Orbit,Kindle Edition,513,2023,2023,,2026/09/10,"to-read, not-bought, romantasy","to-read (#207), not-bought (#244), romantasy (#136)",to-read,,,,0,0
231387395,To Steal a Throne,Gabi Burton,"Burton, Gabi",,"=""1547617276""","=""9781547617272""",0,Bloomsbury YA,Hardcover,368,2026,2026,,2026/09/10,"to-read, not-bought, romantasy","to-read (#206), not-bought (#243), romantasy (#135)",to-read,,,,0,0
232778705,Little Alibis & Sleigh Rides (Dark Holiday #3),Lashell Rain,"Rain, Lashell",,"=""1962157075""","=""9781962157070""",0,Lashell Rain,Kindle Edition,165,2025,,,2026/09/10,"to-read, not-bought, adult, contemporary","to-read (#205), not-bought (#242), adult (#148), contemporary (#68)",to-read,,,,0,0
218912305,Little Horrors & Deceptions (Dark Holiday #2),Lashell Rain,"Rain, Lashell",,"=""1962157040""","=""9781962157049""",0,Lashell Rain,Kindle Edition,165,2024,,,2026/09/10,"to-read, not-bought, adult, contemporary","to-read (#204), not-bought (#241), adult (#147), contemporary (#67)",to-read,,,,0,0
56916837,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,Harper Perennial Modern Classics,Paperback,323,2021,1960,,2026/09/10,"to-read, not-bought, historical","to-read (#203), not-bought (#239), historical (#1)",to-read,,,,0,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,Plume,Paperback,368,2022,1949,,2026/09/10,"to-read, not-bought, dystopian","to-read (#202), not-bought (#238), dystopian (#36)",to-read,,,,0,0
211200239,"Lights Out (Into Darkness, #1)",Navessa Allen,"Allen, Navessa",,"=""1638932239""","=""9781638932239""",5.0,Slowburn,Paperback,416,2024,2024,2026/08/25,2025/10/23,"adult, contemporary, bought","adult (#45), contemporary (#30), bought (#63)",read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",5.0,Celadon Books,Hardcover,336,2019,2019,2026/09/10,2026/09/10,"bought, mystery","bought (#64), mystery (#17)",read,Mind FUCKED,,,1,0
220237323,"The Defender (Gods of the Game, #2)",Ana Huang,"Huang, Ana",,"=""""","=""""",1.0,,Kindle Edition,466,2025,2025,,2026/08/14,"adult, contemporary, not-bought, did-not-finish","adult (#145), contemporary (#65), not-bought (#237), did-not-finish (#9)",did-not-finish,,,,1,0
237833933,"Stop Letting Everything Affect You: How to Break Free from Overthinking, Emotional Chaos, and Self-Sabotage",Daniel Chidiac,"Chidiac, Daniel",,"=""176411082X""","=""9781764110822""",0,Undercover Publishing House Pty Ltd,Kindle Edition,171,2025,,,2026/08/01,"to-read, nonfiction, not-bought","to-read (#201), nonfiction (#7), not-bought (#236)",to-read,,,,0,0
245088181,Midnight Message,Avina St. Graves,"Graves, Avina St.",,"=""0473771780""","=""9780473771782""",3.0,,Kindle Edition,420,2026,,2026/08/01,2026/07/28,"adult, contemporary, not-bought","adult (#144), contemporary (#64), not-bought (#235)",read,"She does not hate sports?? She just can't play them. I was misled.<br/><br/>I loveddd this book! Would've been a 4.5 stars but the start of Act 3 put me off. Felt too middle-school-relationship-y... Loved the battle sequence that followed tho. The starting of the book was put very beautifully. <br/><br/>One thing I would've loved was making her AS unhinged as him, not JUST unhinged. She's crazy, for sure, but he's crazier. God, I want to read a book where HE has to come to terms with HER craziness because why is it always the other way around?",,,1,0
16322,"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,"Christie, Agatha",,"=""1579126243""","=""9781579126247""",0,Black Dog & Leventhal Pub,Hardcover,207,2006,1936,,2026/07/19,"bought, mystery, did-not-finish","bought (#62), mystery (#16), did-not-finish (#8)",did-not-finish,,,,1,0
52871061,"The Predator (Dark Verse, #1)",RuNyx,"RuNyx, RuNyx",,"=""""","=""""",3.0,,Paperback,318,2020,2020,2024/07/25,2024/12/05,"adult, not-bought, contemporary","adult (#13), not-bought (#30), contemporary (#11)",read,,,,1,0
6442769,Paper Towns,John  Green,"Green, John",Gázsity Mila,"=""014241493X""","=""9780142414934""",0,Speak,Paperback,305,2009,2008,,2026/07/13,"to-read, contemporary, not-bought","to-read (#200), contemporary (#63), not-bought (#234)",to-read,,,,0,0
